name,province,district,category,lat,lng,price_level,duration_min,tags,short_desc,history_tip,eat_tip,pro_tip
Girlevik Şelalesi,Tunceli,Çemişgezek,historical,39.586393,39.731310,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Çemişgezek merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Munzur Gözeleri,Tunceli,Çemişgezek,nature,39.331306,39.062479,1,120,"nature,park,city_park,sports_club,lodging",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Munzur Vadisi Milli Parkı,Tunceli,Çemişgezek,nature,39.134988,39.494137,1,120,"nature,tourist_attraction,hiking_area,national_park,park",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Grand Şaroğlu Hotel,Tunceli,Çemişgezek,lodging,39.104194,39.547070,1,120,"lodging,hotel,point_of_interest,establishment",Konaklama odaklı güçlü durak.,Turizm sezonunda doluluk yüksek olabilir.,Yakın çevrede yeme içme noktalarını kontrol et.,Check-in saatlerini önceden planla.
Kutu Deresi Kpr.,Tunceli,Çemişgezek,historical,39.191569,39.691280,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Çemişgezek merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Zağge Restorant,Tunceli,Çemişgezek,food,39.301549,39.777828,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Karanlık Kanyon,Tunceli,Çemişgezek,nature,39.310195,38.455353,1,120,"nature,nature_preserve,tourist_attraction,park,point_of_interest",Tunceli doğa rotasında öne çıkan durak.,Bölgenin doğal yapısı korunmaktadır.,Çemişgezek çevresinde yemek planını önceden yap.,Sabah saatlerinde daha sakin deneyim sunar.
Kanoğlu Et Balık Reataurant,Tunceli,Çemişgezek,food,38.989316,39.500464,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Bağin kaplıcası,Tunceli,Çemişgezek,historical,38.999050,39.894562,1,120,"historical,tourist_attraction,point_of_interest,establishment",Tunceli tarih rotasının güçlü duraklarından biri.,Bölge antik ve Osmanlı dönem izleri taşır.,Çemişgezek merkezinde yerel mutfak alternatiflerini dene.,Kalabalıktan kaçmak için erken saatleri seç.
Zembul YÖRESEL Yöresel Yemek Lokantası-Kahvaltı -Kafe,Tunceli,Çemişgezek,food,39.106825,39.546083,1,75,"food,restaurant,non_profit_organization,association_or_organization,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
Marina Iskele Restoranı,Tunceli,Çemişgezek,food,39.085677,39.543473,1,75,"food,restaurant,point_of_interest,establishment,local",Yerel yeme içme deneyimi için öne çıkan nokta.,Bölge gastronomi hattında görünür.,İmza ürünleri denemeyi unutma.,Yoğun saatlerde rezervasyon faydalı olur.
